UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2021/10/08T19:34:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,90,35,59,991.04,nan,36656,0,118,7.62,11.79,14.21,7.62,11.79,14.21,49,49,1511.14,435.38,82.83,7.52,3.10,1.67,7.68,12.57,15.18,7.68,12.57,15.18,52,52,1519.35,441.75,93.72,12.23,4.45,0.75,
2021/10/08T19:36:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,33,59,990.95,0.05,36568,0,238,7.65,11.84,12.78,7.65,11.84,12.78,49,49,1494.11,424.75,81.65,5.89,1.13,0.62,7.39,10.93,12.05,7.39,10.93,12.05,46,46,1435.63,415.39,76.80,6.00,1.90,0.68,
2021/10/08T19:38:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,33,59,991.00,0.05,36568,0,358,8.52,13.17,13.88,8.52,13.17,13.88,53,53,1647.21,461.78,94.95,7.10,0.48,0.00,9.23,13.43,14.48,9.23,13.43,14.48,54,54,1641.96,477.73,93.57,4.36,1.29,0.75,
2021/10/08T19:40:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,34,59,990.93,0.05,36568,0,478,8.34,13.52,15.28,8.34,13.52,15.28,54,54,1694.07,476.76,92.67,8.03,2.10,1.31,9.70,15.04,15.75,9.70,15.04,15.75,57,57,1761.00,513.05,112.09,4.75,0.93,0.14,
2021/10/08T19:42:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,35,59,990.86,0.05,36568,0,598,8.67,12.96,14.16,8.67,12.96,14.16,53,53,1671.42,471.42,92.49,5.12,1.30,0.14,9.35,15.67,16.33,9.35,15.67,16.33,59,59,1762.00,509.58,112.63,8.49,1.12,0.63,
2021/10/08T19:44:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,34,58,990.85,0.05,36568,0,718,8.84,12.61,12.91,8.84,12.61,12.91,52,52,1665.26,471.98,80.56,3.19,0.46,0.04,8.38,14.17,14.57,8.38,14.17,14.57,55,55,1641.41,469.72,92.64,6.34,0.59,0.45,
2021/10/08T19:46:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,33,59,990.85,0.05,36568,0,838,8.25,12.89,14.25,8.25,12.89,14.25,53,53,1602.84,458.26,88.65,6.63,1.96,0.74,8.52,11.86,12.59,8.52,11.86,12.59,49,49,1641.05,468.72,85.21,2.34,0.86,0.86,
2021/10/08T19:48:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,33,58,990.88,0.05,36568,0,958,8.16,11.74,12.66,8.16,11.74,12.66,49,49,1530.10,440.09,76.48,5.21,0.38,0.00,8.61,13.11,13.48,8.61,13.11,13.48,53,53,1641.54,476.95,93.43,4.54,0.50,0.00,
2021/10/08T19:50:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,90,35,58,990.86,0.05,36568,0,1078,8.63,11.70,12.04,8.63,11.70,12.04,49,49,1549.95,444.67,70.49,2.98,0.35,0.00,8.86,13.77,14.46,8.86,13.77,14.46,55,55,1604.68,475.44,92.07,5.82,0.98,0.39,
2021/10/08T19:52:40z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,90,34,58,990.82,0.05,36568,0,1198,8.11,12.80,14.25,8.11,12.80,14.25,52,52,1544.29,435.73,88.49,8.76,1.02,1.02,8.59,12.93,13.90,8.59,12.93,13.90,53,53,1592.33,461.09,84.43,6.34,1.31,0.90,
2021/10/08T19:54:38z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,90,34,58,990.82,nan,36656,0,117,9.44,13.60,15.33,9.44,13.60,15.33,54,54,1669.53,484.72,93.88,7.26,2.33,1.30,8.59,12.49,14.05,8.59,12.49,14.05,52,52,1607.49,467.00,82.59,5.51,2.24,0.73,
2021/10/08T19:56:38z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,90,35,59,990.83,0.05,36568,0,237,8.69,13.07,14.78,8.69,13.07,14.78,53,53,1536.76,449.07,92.00,6.25,1.89,0.87,9.19,14.32,15.00,9.19,14.32,15.00,56,56,1721.47,498.60,105.14,6.42,0.95,0.00,
2021/10/08T19:58:38z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,86,38,58,990.86,0.05,36568,0,357,9.75,13.98,14.72,9.75,13.98,14.72,55,55,1775.45,501.40,89.27,6.23,0.73,0.00,9.68,15.30,16.29,9.68,15.30,16.29,58,58,1803.21,528.75,107.46,7.50,1.54,0.54,
2021/10/08T20:00:38z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,85,40,58,990.83,0.05,36568,0,477,9.20,14.69,16.68,9.20,14.69,16.68,56,56,1808.44,513.12,101.69,8.46,2.34,0.51,10.21,16.38,17.93,10.21,16.38,17.93,60,60,1877.04,549.62,119.38,7.14,2.18,1.25,
2021/10/08T20:02:38z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,83,43,58,990.93,0.05,36504,0,597,10.04,16.65,18.05,10.04,16.65,18.05,61,61,1876.63,535.00,121.53,11.93,1.51,0.35,11.19,16.72,17.36,11.19,16.72,17.36,61,61,1974.47,589.38,118.64,5.52,0.76,0.00,
2021/10/08T20:04:38z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,84,43,59,990.84,0.05,36504,0,717,9.89,16.53,17.89,9.89,16.53,17.89,60,60,1874.40,533.84,134.56,7.93,1.64,0.00,11.83,18.12,19.39,11.83,18.12,19.39,64,64,2066.90,606.73,127.05,10.51,2.27,0.10,
2021/10/08T20:06:38z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,83,44,58,990.82,0.05,36504,0,837,10.82,18.98,20.32,10.82,18.98,20.32,65,65,2047.82,589.95,145.91,11.00,1.71,0.36,11.91,20.76,22.55,11.91,20.76,22.55,69,69,2185.97,644.81,159.97,10.21,3.28,0.55,
