UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/03/15T00:28:50z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,44,13,1002.95,0.05,36504,0,1209,3.78,7.45,9.45,3.78,7.45,9.45,31,31,700.04,199.89,41.13,6.51,2.07,1.53,4.15,7.64,10.08,4.15,7.64,10.08,32,32,772.12,229.75,47.51,6.44,3.08,0,
2023/03/15T00:31:00z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,44,14,1002.9,nan,36656,0,129,3.81,6.71,8.88,3.81,6.71,8.88,28,28,703.14,197.83,40.29,5.67,2.14,0,3.63,6.8,7.12,3.63,6.8,7.12,28,28,715.54,202.51,43.73,3.27,0.54,0,
2023/03/15T00:33:00z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,44,14,1002.83,0.05,36568,0,249,4.56,6.96,8.55,4.56,6.96,8.55,29,29,777.98,209.71,36.2,4.4,1.35,1.24,4.03,8.19,9.07,4.03,8.19,9.07,34,34,732,217.19,46.66,7.24,1.28,0.31,
2023/03/15T00:35:00z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,44,14,1002.93,0.05,36568,0,369,4.32,6.75,8.82,4.32,6.75,8.82,28,28,738.11,207.82,38.91,5.12,0.81,0.81,4.52,8.8,10.55,4.52,8.8,10.55,37,37,810.64,240.21,51.25,8.04,2.07,0.82,
2023/03/15T00:37:00z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,44,14,1002.94,0.05,36568,0,489,4.35,7.58,8.63,4.35,7.58,8.63,32,32,729.74,205.19,39.79,5.68,1.19,0.49,3.95,7.29,8.87,3.95,7.29,8.87,30,30,750,223.24,45.76,5.82,1.38,0.44,
2023/03/15T00:39:00z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,45,14,1002.97,0.05,36568,0,609,3.4,6.36,7.85,3.4,6.36,7.85,27,27,666,186.02,41.62,3.85,1.27,0,4.6,8.64,11.81,4.6,8.64,11.81,36,36,825.31,239.47,53.12,9.14,3.48,1.9,
2023/03/15T00:41:00z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,44,14,1002.93,0.05,36568,0,729,3.78,6.04,8.33,3.78,6.04,8.33,25,25,681.06,187.39,38.59,6.85,0.96,0.41,4.7,9.32,11.18,4.7,9.32,11.18,39,39,835.05,246.93,53.51,7.86,2.25,0.77,
2023/03/15T00:43:00z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,44,14,1002.68,0.05,36568,0,849,3.33,5.95,6.93,3.33,5.95,6.93,25,25,630,184.03,35.71,3.76,1.17,0,3.66,7.21,9.72,3.66,7.21,9.72,30,30,762.78,219.64,43.55,5.72,2.41,1.24,
2023/03/15T00:45:00z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,44,14,1002.81,0.05,36568,0,969,4.17,7.74,8.09,4.17,7.74,8.09,32,32,716.95,204.05,42.66,3.21,0,0,4.77,8.46,10.41,4.77,8.46,10.41,35,35,803.04,231.84,53.59,6.5,2.29,1.11,
2023/03/15T00:47:00z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,44,14,1002.85,0.05,36568,0,1089,4.21,6.59,7.26,4.21,6.59,7.26,27,27,750.52,211.55,34.36,2.24,0.34,0,4.21,9.16,10.81,4.21,9.16,10.81,38,38,785,234.54,58.37,6.93,1.75,0.91,
2023/03/15T00:49:00z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,44,14,1002.88,0.05,36568,0,1209,3.36,6.22,9.25,3.36,6.22,9.25,26,26,661.53,182.95,36.11,6,2.51,1.27,4.88,9.25,12.8,4.88,9.25,12.8,39,39,839.29,245.49,53.32,9.81,3.9,2.68,
2023/03/15T00:51:11z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,13,1002.82,nan,36656,0,129,4.02,8.05,8.34,4.02,8.05,8.34,34,34,714.15,205.95,48.41,4.63,0.2,0,4.75,9.45,9.6,4.75,9.45,9.6,39,39,862.65,246.8,52.22,4.75,0.3,0.3,
2023/03/15T00:53:11z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,14,1002.8,0.05,36568,0,249,4.19,6.93,8.3,4.19,6.93,8.3,29,29,741.11,211.11,39.63,4.41,0.37,0.37,5.05,7.84,8.96,5.05,7.84,8.96,33,33,791.37,237.47,45.44,4.49,1.4,0,
2023/03/15T00:55:11z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,14,1002.84,0.05,36568,0,369,4.86,7.78,10.31,4.86,7.78,10.31,32,32,830.28,236.19,46.52,4.21,2.72,0.9,5.2,10.09,11.04,5.2,10.09,11.04,42,42,876.38,256.93,54.29,6.65,1.2,0.11,
2023/03/15T00:57:11z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,14,1002.86,0.05,36568,0,489,5.14,9.72,10.69,5.14,9.72,10.69,41,41,897.93,249.45,47.95,6.45,0.93,0,4.98,9.21,12.07,4.98,9.21,12.07,38,38,869.95,253.38,52.68,6.29,3.21,1.57,
2023/03/15T00:59:11z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,14,1002.79,0.05,36504,0,609,4.58,8,10.02,4.58,8,10.02,33,33,819.55,229.91,47.42,6.25,1.75,0.76,5.33,8.42,10.53,5.33,8.42,10.53,35,35,832.89,242.93,46.56,5.19,2.35,1.05,
2023/03/15T01:01:11z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,14,1002.79,0.05,36504,0,729,4.57,9.3,12.24,4.57,9.3,12.24,39,39,845.06,236.43,54.78,8.93,2.52,0.74,5.81,10.07,12.95,5.81,10.07,12.95,42,42,952.6,281.48,56.5,7.1,3.55,0.9,
2023/03/15T01:03:11z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,14,1002.75,0.05,36504,0,849,4.51,8,9.04,4.51,8,9.04,33,33,805,227.46,43.95,4.53,0.88,0,4.81,9.1,12.09,4.81,9.1,12.09,38,38,843.31,241.07,52.71,9.76,3.62,0.41,
2023/03/15T01:05:11z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,45,15,1002.67,0.05,36504,0,969,4.7,9.3,10.61,4.7,9.3,10.61,39,39,868.42,243.44,53.79,6.84,0.81,0.81,5.21,9.64,14.91,5.21,9.64,14.91,40,40,842.48,258.69,59.33,9.52,6.1,2.59,
2023/03/15T01:07:11z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,45,15,1002.63,0.05,36504,0,1089,4.14,8.09,9.86,4.14,8.09,9.86,34,34,755.84,214.11,51.86,6.39,1.23,0.46,5.04,8.93,11.42,5.04,8.93,11.42,37,37,820.26,238.3,55.54,7.93,3.19,1.19,
2023/03/15T01:09:11z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,14,1002.69,0.05,36504,0,1209,4.77,8,9.58,4.77,8,9.58,33,33,792.95,230.3,46.39,5.16,0.46,0.46,5.24,9.36,11.05,5.24,9.36,11.05,39,39,854.19,257.8,55.88,5.59,1.59,0.75,
2023/03/15T01:11:21z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,14,1002.64,nan,36656,0,129,3.67,7.07,9.93,3.67,7.07,9.93,29,29,696,195.58,47.74,6.7,2.7,1.58,4.59,8.05,10.76,4.59,8.05,10.76,34,34,770.85,218,42.24,9.37,3.22,0.88,
2023/03/15T01:13:21z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,14,1002.67,0.05,36568,0,249,4.45,6.77,7.09,4.45,6.77,7.09,28,28,776.46,214.73,31.71,3.5,0,0,4.79,8.69,10.81,4.79,8.69,10.81,36,36,834.57,238.19,50.76,5.41,2.72,1.1,
2023/03/15T01:15:21z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.72,0.05,36568,0,369,4.41,7,7.51,4.41,7,7.51,29,29,748.88,218.8,35.73,3.05,0.17,0,4.43,9.39,10.93,4.43,9.39,10.93,39,39,739.55,217.04,56.79,7.36,1.86,0.36,
2023/03/15T01:17:21z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.79,0.05,36568,0,489,3.88,6.22,8.93,3.88,6.22,8.93,26,26,718.63,199.17,42.61,4.61,2.54,0.44,4.72,8.24,11.04,4.72,8.24,11.04,34,34,760.33,226.5,48.7,7.96,3.15,1.67,
2023/03/15T01:19:21z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.78,0.05,36568,0,609,3.82,6.72,8.47,3.82,6.72,8.47,28,28,706.53,203.91,32.96,5.12,1.75,0,4.73,8.46,10.42,4.73,8.46,10.42,35,35,798.41,227.44,42.54,9.25,2.41,1.05,
2023/03/15T01:21:21z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.86,0.05,36568,0,729,4.48,6.3,7.62,4.48,6.3,7.62,26,26,744.05,213.32,34.61,3.5,0.86,0,4.51,8.42,10.36,4.51,8.42,10.36,35,35,782.03,229.42,44.81,7.32,2.47,0.68,
2023/03/15T01:23:21z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.79,0.05,36504,0,849,4.33,8.26,9.81,4.33,8.26,9.81,34,34,736.91,213.38,48.97,6.03,1.21,0.45,5.07,9.65,11.02,5.07,9.65,11.02,40,40,852.84,254.23,49.81,7.12,1.58,0.84,
